      x:      approx:     exact:  
    0.078460770   0.0011883987     0.46524412
    0.078960520   0.0011922164     0.46701906
    0.079460270   0.0011960009     0.46878265
    0.079960020   0.0011997524     0.47053497
    0.080459770   0.0012034710     0.47227606
    0.080959520   0.0012071570     0.47400598
    0.081459270   0.0012108106     0.47572478
    0.081959020   0.0012144319     0.47743252
    0.082458771   0.0012180212     0.47912926
    0.082958521   0.0012215785     0.48081505
    0.083458271   0.0012251042     0.48248995
    0.083958021   0.0012285985     0.48415400
    0.084457771   0.0012320614     0.48580727
    0.084957521   0.0012354932     0.48744980
    0.085457271   0.0012388941     0.48908166
    0.085957021   0.0012422642     0.49070289
    0.086456772   0.0012456038     0.49231355
    0.086956522   0.0012489131     0.49391368
    0.087456272   0.0012521921     0.49550335
    0.087956022   0.0012554411     0.49708261
    0.088455772   0.0012586604     0.49865150
    0.088955522   0.0012618499     0.50021007
    0.089455272   0.0012650100     0.50175839
    0.089955022   0.0012681409     0.50329650
    0.090454773   0.0012712426     0.50482444
    0.090954523   0.0012743153     0.50634228
    0.091454273   0.0012773594     0.50785007
    0.091954023   0.0012803748     0.50934784
    0.092453773   0.0012833618     0.51083566
    0.092953523   0.0012863206     0.51231357
    0.093453273   0.0012892513     0.51378162
    0.093953023   0.0012921541     0.51523986
    0.094452774   0.0012950291     0.51668834
    0.094952524   0.0012978767     0.51812711
    0.095452274   0.0013006968     0.51955622
    0.095952024   0.0013034896     0.52097571
    0.096451774   0.0013062555     0.52238563
    0.096951524   0.0013089944     0.52378603
    0.097451274   0.0013117066     0.52517696
    0.097951024   0.0013143922     0.52655847
    0.098450775   0.0013170514     0.52793060
    0.098950525   0.0013196843     0.52929339
    0.099450275   0.0013222912     0.53064690
    0.099950025   0.0013248721     0.53199118
     0.10044978   0.0013274273     0.53332626
     0.10094953   0.0013299568     0.53465219
     0.10144928   0.0013324609     0.53596903
     0.10194903   0.0013349397     0.53727680
     0.10244878   0.0013373934     0.53857557
     0.10294853   0.0013398220     0.53986537
     0.10344828   0.0013422258     0.54114625
     0.10394803   0.0013446049     0.54241826
     0.10444778   0.0013469595     0.54368143
     0.10494753   0.0013492897     0.54493582
     0.10544728   0.0013515957     0.54618146
     0.10594703   0.0013538775     0.54741839
     0.10644678   0.0013561355     0.54864668
     0.10694653   0.0013583696     0.54986634
     0.10744628   0.0013605801     0.55107744
     0.10794603   0.0013627671     0.55228001
     0.10844578   0.0013649308     0.55347409
     0.10894553   0.0013670712     0.55465973
     0.10944528   0.0013691886     0.55583697
     0.10994503   0.0013712830     0.55700584
     0.11044478   0.0013733547     0.55816640
     0.11094453   0.0013754037     0.55931868
     0.11144428   0.0013774302     0.56046273
     0.11194403   0.0013794344     0.56159858
     0.11244378   0.0013814164     0.56272628
     0.11294353   0.0013833762     0.56384587
     0.11344328   0.0013853141     0.56495738
     0.11394303   0.0013872302     0.56606087
     0.11444278   0.0013891246     0.56715636
     0.11494253   0.0013909975     0.56824389
     0.11544228   0.0013928490     0.56932352
     0.11594203   0.0013946792     0.57039527
     0.11644178   0.0013964883     0.57145919
     0.11694153   0.0013982763     0.57251531
     0.11744128   0.0014000435     0.57356368
     0.11794103   0.0014017899     0.57460433
     0.11844078   0.0014035157     0.57563730
     0.11894053   0.0014052211     0.57666263
     0.11944028   0.0014069060     0.57768036
     0.11994003   0.0014085708     0.57869052
     0.12043978   0.0014102154     0.57969316
     0.12093953   0.0014118401     0.58068831
     0.12143928   0.0014134449     0.58167600
